brand,postalcode,address,retaddr,lat,lng
Koufu,Singapore 239693,Cathay Cineleisure Orchard 8 Grange Road #B1-01,Singapore 239693,1.30142,103.837238
Koufu,Singapore 039596,Millenia Walk 9 Raffles Boulevard #01-46/47/48/49&50,Singapore 039596,1.291601,103.860166
Koufu,Singapore 310500,Toa Payoh HDB Centre Blk 500 Toa Payoh Lorong 6 #02-30,Singapore 310500,1.333005,103.847064
Koufu,Singapore 178901,"Singapore Management University 70 Stamford Road #B1-26/28, Li Ka Shing Library Building",Singapore 178901,1.296653,103.8505969
Koufu,Singapore 138632,Fusionopolis One 1 Fusionopolis Way #B2-02,Singapore 138632,1.299622,103.787656
Koufu,Singapore 657991,LeQuest Mall 4 Bukit Batok St 41 #01-22/28,"4 Bukit Batok Street 41, #01-22/23/24/25/26/27/28 Le Quest Mall, Singapore 657991",1.3552804,103.7412887
Koufu,Singapore 159953,Anchor Point 370 Alexandra Road #B1-20/21,Singapore 159953,1.288541,103.805249
Koufu,Singapore 670445,Fajar Shopping Centre Blk 445 Fajar Road #01-548,Singapore 670445,1.383802,103.770558
Koufu,Singapore 640762,Gek Poh Shopping Centre Blk 762 Jurong West Street 75 #01-300,Singapore 640762,1.349156,103.698195
Koufu,Singapore 599489,Ngee Ann Polytechnic 535 Clementi Road Blk 51 Level 2,Singapore 599489,1.332823,103.772471
Koufu,Singapore 641638,Pioneer Mall Blk 638A Jurong West St 61 #01-22,Singapore 641638,1.341943,103.697609
Koufu,Singapore 139651,Singapore Polytechnic 500 Dover Road Canteen 4,Singapore 139651,1.309126,103.78126
Koufu,Singapore 610399,Taman Jurong Shopping Centre Blk 399 Yung Sheng Road #01-43,Singapore 610399,1.3347739,103.721053
Koufu,Singapore 658713,West Mall 1 Bukit Batok Central Link #04-01,Singapore 658713,1.349649,103.749107
Koufu,Singapore 689578,Yew Tee Point 21 Choa Chu Kang North 6 #B1-17/22,Singapore 689578,1.39729,103.746546
Koufu,Singapore 529543,Eastlink Mall 8 Tampines Central #01-18,Singapore 529543,1.354384,103.944265
Koufu,Singapore 349248,Solaris @ Kallang Way 164 164 Kallang Way #02-01 Solaris,Singapore 349248,1.324004,103.875743
Koufu,Singapore 415934,Enterprise One 1 Kaki Bukit Road #01-18,Singapore 415934,1.33251,103.902292
Koufu,Singapore 510258,Loyang Point Blk 258 Pasir Ris St 21 #02-313,Singapore 510258,1.367095,103.964726
Koufu,Singapore 510735,Pasir Ris West Plaza Blk 735 Pasir Ris Street 72 #01-336,Singapore 510735,1.379692,103.936062
Koufu,Singapore 520478,478 Tampines Blk 478 Tampines St 44 #01-221,Singapore 520478,1.361342,103.95368
Koufu,Singapore 142057,Dawson Place Blk 57 Dawson Road #02-09/10,Singapore 142057,1.292802,103.810934
Koufu,Singapore 160201,Kim Tian 201 Kim Tian Road #01-400,Singapore 160201,1.2805,103.827596
Koufu,Singapore 141088,Tanglin Halt Blk 88 Tanglin Halt Road #01-08,Singapore 141088,1.302208,103.797717
Koufu,Singapore 540263,Compassvale Street Blk 263 Compassvale Street #01-09,Singapore 540263,1.39484,103.895953
Koufu,Singapore 544886,Sengkang General and Community Hospital 110 Sengkang East Way #01-21,Singapore 544886,1.394566,103.893193
Koufu,Singapore 567720,ITE College Central 2 Ang Mo Kio Drive #01-14 to 29,Singapore 567720,1.3777036,103.8554865
Koufu,Singapore 537984,Buangkok Square 991 Buangkok Link #02-21,Singapore 537984,1.382342,103.880844
Koufu,Singapore 738964,Republic Polytechnic 31 Woodlands Avenue 9 South Food Court #01-01,Singapore 738964,1.443008,103.785698
Koufu,Singapore 739065,Woodgrove 30 Woodlands Avenue 1 #01-11,Singapore 739065,1.428724,103.781141
Koufu,Singapore 569830,Nanyang Polytechnic 180 Ang Mo Kio Ave 8 Blk A Unit 235,Singapore 569830,1.378461,103.848988
Koufu,Singapore 820168,Punggol Plaza Blk 168 Punggol Field #01-01,Singapore 820168,1.394214,103.91291
Koufu,Singapore 540118,Rivervale Plaza Blk 118 Rivervale Drive #02-15/16,Singapore 540118,1.385427,103.901579
Koufu,Singapore 750511,Sembawang Mart Blk 511 Canberra Road #01-01,Singapore 750511,1.453736,103.819382
Koufu,Singapore 307506,Square 2 10 Sinaran Drive #04-14 to 19 & #04-56 to 73,Singapore 307506,1.321061,103.844476
Koufu,Singapore 574408,Thomson Plaza 301 Upper Thomson Road #01-106,Singapore 574408,1.354637,103.830935
Koufu,Singapore 730768,Woodlands Mart Blk 768 Woodlands Ave 6 #01-30/31,Singapore 730768,1.445962,103.798159
Cookhouse,Singapore 608549,JEM 50 Jurong Gateway Road #05-01,Singapore 608549,1.3330671,103.7436599
Cookhouse,Singapore 018935,Marina One 5 Straits View #02-04/06 Marina One The Heart,Singapore 018935,1.2774589,103.8529889
Cookhouse,Singapore 828761,Waterway Point 83 Punggol Central #02-20/21,Singapore 828761,1.406502,103.902084
Cookhouse,Singapore 518457,White Sands 1 Pasir Ris Central Street 3 #03-01/02,Singapore 518457,1.372567,103.950162
Rasapura,Singapore 018972,"The Shoppes at Marina Bay Sands 2 Bayfront Ave #B2-49A/50-53, Canal Level",Singapore 018972,1.283949,103.858846
ForkSpoon,Singapore 310470,Toa Payoh Blk 470 Toa Payoh Lorong 6 #02-70,Singapore 310470,1.332046,103.8493419
ForkSpoon,Singapore 730768,Woodlands Mart Blk 768 Woodlands Ave 6 #01-32,Singapore 730768,1.445962,103.798159
HappyHawkers,Singapore 560531,Ang Mo Kio Blk 531 Ang Mo Kio Ave 10 #01-2429,Singapore 560531,1.373356,103.854322
HappyHawkers,Singapore 760747,Yishun 747 Yishun Street 72 #01-108,Singapore 760747,1.428283,103.833404
HappyHawkers,Singapore 543215,215C Compassvale Drive Blk 215C Compassvale #01-06,Singapore 543215,1.3898391,103.8929155
HappyHawkers,Singapore 543289,Compassvale Crescent Blk 289C Compassvale Crescent #01-01,Singapore 543289,1.39744,103.896897
HappyHawkers,Singapore 540267,267 Compassvale Link Blk 267 Compassvale Link #01-02,Singapore 540267,1.38376,103.897067
HappyHawkers,Singapore 820671,Edgefield Plains Blk 671 Edgefield Plains #01-01,Singapore 820671,1.4057059,103.9120219
HappyHawkers,Singapore 791433,Sengkang West Blk 433A Seng Kang West Way #01-01,Singapore 791433,1.394758,103.877477
HappyHawkers,Singapore 751406,Sembawang Blk 406A Sembawang Drive #01-01,Singapore 751406,1.4523759,103.817468
HappyHawkers,Singapore 824622,Punggol Central Blk 622D Punggol Central #01-01,Singapore 824622,1.399459,103.911705
HappyHawkers,Singapore 760256,Yishun Ring Blk 256 Yishun Ring Road #01-1005,Singapore 760256,1.434131,103.839936
HappyHawkers,Singapore 164018,Jalan Membina Blk 18 Jalan Membina #01-01,Singapore 164018,1.28568,103.826718
HappyHawkers,Singapore 460204,Bedok North Blk 204 Bedok North Street 1 #01-393,Singapore 460204,1.326535,103.929898
HappyHawkers,Singapore 470739,Bedok Reservoir Blk 739 Bedok Reservoir Road #01-3193,Singapore 470739,1.337976,103.922713
HappyHawkers,Singapore 523872,872C Tampines Blk 872C Tampines St 86 #01-09,Singapore 523872,1.355067,103.931584
HappyHawkers,Singapore 528559,T-Space 1 Tampines North Drive 1 #01-34,Singapore 528559,1.371783,103.933943
HappyHawkers,Singapore 522602,602B Tampines Blk 602B Tampines Avenue 9 #01-01,"602B Tampines Ave 9, #01-01, Singapore 522602",1.3613185,103.9377073
HappyHawkers,Singapore 650632,Bukit Batok Central Blk 632 Bukit Batok Central #01-134,Singapore 650632,1.349353,103.750512
HappyHawkers,Singapore 600132,Jurong East Blk 132 Jurong Gateway Road #01-271,Singapore 600132,1.334295,103.739637
