brand,postalcode,address,lat,lng,subzone_n,pln_area_n,region_n
Koufu,Singapore 239693,Cathay Cineleisure Orchard 8 Grange Road #B1-01,1.30142,103.837238,SOMERSET,ORCHARD,CENTRAL REGION
Koufu,Singapore 039596,Millenia Walk 9 Raffles Boulevard #01-46/47/48/49&50,1.291601,103.860166,MARINA CENTRE,DOWNTOWN CORE,CENTRAL REGION
Koufu,Singapore 310500,Toa Payoh HDB Centre Blk 500 Toa Payoh Lorong 6 #02-30,1.333005,103.847064,TOA PAYOH CENTRAL,TOA PAYOH,CENTRAL REGION
Koufu,Singapore 178901,"Singapore Management University 70 Stamford Road #B1-26/28, Li Ka Shing Library Building",1.296653,103.8505969,BRAS BASAH,MUSEUM,CENTRAL REGION
Koufu,Singapore 138632,Fusionopolis One 1 Fusionopolis Way #B2-02,1.299622,103.787656,ONE NORTH,QUEENSTOWN,CENTRAL REGION
Koufu,Singapore 657991,LeQuest Mall 4 Bukit Batok St 41 #01-22/28,1.3552804,103.7412887,BRICKWORKS,BUKIT BATOK,WEST REGION
Koufu,Singapore 159953,Anchor Point 370 Alexandra Road #B1-20/21,1.288541,103.805249,MEI CHIN,QUEENSTOWN,CENTRAL REGION
Koufu,Singapore 670445,Fajar Shopping Centre Blk 445 Fajar Road #01-548,1.383802,103.770558,FAJAR,BUKIT PANJANG,WEST REGION
Koufu,Singapore 640762,Gek Poh Shopping Centre Blk 762 Jurong West Street 75 #01-300,1.349156,103.698195,YUNNAN,JURONG WEST,WEST REGION
Koufu,Singapore 599489,Ngee Ann Polytechnic 535 Clementi Road Blk 51 Level 2,1.332823,103.772471,ANAK BUKIT,BUKIT TIMAH,CENTRAL REGION
Koufu,Singapore 641638,Pioneer Mall Blk 638A Jurong West St 61 #01-22,1.341943,103.697609,JURONG WEST CENTRAL,JURONG WEST,WEST REGION
Koufu,Singapore 139651,Singapore Polytechnic 500 Dover Road Canteen 4,1.309126,103.78126,SINGAPORE POLYTECHNIC,QUEENSTOWN,CENTRAL REGION
Koufu,Singapore 610399,Taman Jurong Shopping Centre Blk 399 Yung Sheng Road #01-43,1.3347739,103.721053,TAMAN JURONG,JURONG WEST,WEST REGION
Koufu,Singapore 658713,West Mall 1 Bukit Batok Central Link #04-01,1.349649,103.749107,BUKIT BATOK CENTRAL,BUKIT BATOK,WEST REGION
Koufu,Singapore 689578,Yew Tee Point 21 Choa Chu Kang North 6 #B1-17/22,1.39729,103.746546,YEW TEE,CHOA CHU KANG,WEST REGION
Koufu,Singapore 529543,Eastlink Mall 8 Tampines Central #01-18,1.354384,103.944265,TAMPINES EAST,TAMPINES,EAST REGION
Koufu,Singapore 349248,Solaris @ Kallang Way 164 164 Kallang Way #02-01 Solaris,1.324004,103.875743,KALLANG WAY,GEYLANG,CENTRAL REGION
Koufu,Singapore 415934,Enterprise One 1 Kaki Bukit Road #01-18,1.33251,103.902292,KAKI BUKIT,BEDOK,EAST REGION
Koufu,Singapore 510258,Loyang Point Blk 258 Pasir Ris St 21 #02-313,1.367095,103.964726,PASIR RIS DRIVE,PASIR RIS,EAST REGION
Koufu,Singapore 510735,Pasir Ris West Plaza Blk 735 Pasir Ris Street 72 #01-336,1.379692,103.936062,PASIR RIS WEST,PASIR RIS,EAST REGION
Koufu,Singapore 520478,478 Tampines Blk 478 Tampines St 44 #01-221,1.361342,103.95368,TAMPINES EAST,TAMPINES,EAST REGION
Koufu,Singapore 142057,Dawson Place Blk 57 Dawson Road #02-09/10,1.292802,103.810934,MARGARET DRIVE,QUEENSTOWN,CENTRAL REGION
Koufu,Singapore 160201,Kim Tian 201 Kim Tian Road #01-400,1.2805,103.827596,TIONG BAHRU STATION,BUKIT MERAH,CENTRAL REGION
