brand,0,1,2,3,4,5,6,7,8
Koufu,Cathay Cineleisure Orchard,8 Grange Road,#B1-01,Singapore 239693,,,,,
Koufu,Millenia Walk,9 Raffles Boulevard,#01-46/47/48/49&50,Singapore 039596,Operating hours:,7am - 9pm daily,,,
Koufu,Toa Payoh HDB Centre,Blk 500 Toa Payoh Lorong 6,#02-30,Singapore 310500,Operating Hours:,6am - 10pm daily,,,
Koufu,Singapore Management University,70 Stamford Road,"#B1-26/28, Li Ka Shing Library Building",Singapore 178901,Operating Hours:,6.45am - 9pm (Mon - Fri),6.45am - 5pm (Sat),Closed on Sun and PH,
Koufu,Fusionopolis One,1 Fusionopolis Way,#B2-02,Singapore 138632,Operating Hours:,7am - 9pm Mon - Fri,7am - 3pm Sat,Closed on Sun & PHs,
Koufu,LeQuest Mall,4 Bukit Batok St 41,#01-22/28,Singapore 657991,Operating Hours:,7am - 10pm Daily,Open 21 Oct 2020,,
Koufu,Anchor Point,370 Alexandra Road,#B1-20/21,Singapore 159953,Operating Hours:,8.45am - 10pm daily,,,
Koufu,Fajar Shopping Centre,Blk 445 Fajar Road,#01-548,Singapore 670445,Operating Hours:,5am - 12am daily,,,
Koufu,Gek Poh Shopping Centre,Blk 762 Jurong West Street 75,#01-300,Singapore 640762,Operating Hours:,5.30am - 10pm daily,,,
Koufu,Ngee Ann Polytechnic,535 Clementi Road,Blk 51 Level 2,Singapore 599489,Operating Hours:,7am - 8.30pm (Mon - Fri),"Closed on Sat, Sun and PH",,
Koufu,Pioneer Mall,Blk 638A Jurong West St 61,#01-22,Singapore 641638,Operating Hours:,5.30am - 12am daily,,,
Koufu,Singapore Polytechnic,500 Dover Road,Canteen 4,Singapore 139651,Operating Hours:,7am - 9pm (Mon - Fri),8am - 1pm (Sat),Closed on Sun and PH,
Koufu,Taman Jurong Shopping Centre,Blk 399 Yung Sheng Road,#01-43,Singapore 610399,Operating Hours:,6am - 10pm daily,,,
Koufu,West Mall,1 Bukit Batok Central Link,#04-01,Singapore 658713,Operating Hours:,8.30am - 10pm daily,,,
Koufu,Yew Tee Point,21 Choa Chu Kang North 6,#B1-17/22,Singapore 689578,Operating Hours:,8.30am - 10pm daily,,,
Koufu,Eastlink Mall,8 Tampines Central,#01-18,Singapore 529543,Operating Hours:,6am - 11pm daily,,,
Koufu,Solaris @ Kallang Way 164,164 Kallang Way,#02-01 Solaris,Singapore 349248,Operating Hours:,7am - 9pm (Mon-Fri),7am - 4pm (Sat/ eve of PH),Closed on Sun & PHs,
Koufu,Enterprise One,1 Kaki Bukit Road,#01-18,Singapore 415934,Operating Hours:,6am - 11pm daily,,,
Koufu,Loyang Point,Blk 258 Pasir Ris St 21,#02-313,Singapore 510258,Operating Hours:,6am - 11pm daily,,,
Koufu,Pasir Ris West Plaza,Blk 735 Pasir Ris Street 72,#01-336,Singapore 510735,Operating Hours:,6am - 11pm (Sun - Thu),6am - 1am (Fri and Sat),,
Koufu,478 Tampines,Blk 478 Tampines St 44,#01-221,Singapore 520478,Operating Hours:,6am - 12am daily,,,
